  1 2018-02-13 20:52:43.017153    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=1/256, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  2 2018-02-13 20:52:43.017168    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=2/512, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  3 2018-02-13 20:52:43.017176    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=3/768, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  4 2018-02-13 20:52:43.017183    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=4/1024, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  5 2018-02-13 20:52:43.017205    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=5/1280, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  6 2018-02-13 20:52:43.017222    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=6/1536, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  7 2018-02-13 20:52:43.017237    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=7/1792, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  8 2018-02-13 20:52:43.017251    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=8/2048, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
  9 2018-02-13 20:52:43.017266    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=9/2304, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
 10 2018-02-13 20:52:43.017279    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=10/2560, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
 11 2018-02-13 20:52:43.017283    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x693e, seq=1/256, ttl=64 (request in 1) 90:e2:ba:3e:a6:e8 -> 90:e2:ba:82:2c:7d
 12 2018-02-13 20:52:43.017289    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=11/2816, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
 13 2018-02-13 20:52:43.017298    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=12/3072, ttl=63 90:e2:ba:82:2c:7d -> 90:e2:ba:3e:a6:e8
