  1 2018-02-14 01:06:45.192763 2c:23:3a:3f:42:bc -> LLDP_Multicast LLDP TTL = 121 System Name = cl3 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:42:bc -> 01:80:c2:00:00:0e
  2 2018-02-14 01:06:47.652076    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=1/256, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  3 2018-02-14 01:06:47.652102    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=2/512, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  4 2018-02-14 01:06:47.652106    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=3/768, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  5 2018-02-14 01:06:47.652110    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=4/1024, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  6 2018-02-14 01:06:47.652113    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=5/1280, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  7 2018-02-14 01:06:47.652116    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=6/1536, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  8 2018-02-14 01:06:47.652119    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=7/1792, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  9 2018-02-14 01:06:47.652122    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=8/2048, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
 10 2018-02-14 01:06:47.652125    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=9/2304, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
 11 2018-02-14 01:06:47.652127    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=10/2560, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
 12 2018-02-14 01:06:47.652130    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x693e, seq=11/2816, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
