  1 2018-03-16 19:01:55.321223 2c:23:3a:3f:10:c3 -> LLDP_Multicast LLDP TTL = 121 System Name = cl6 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:10:c3 -> 01:80:c2:00:00:0e
  2 2018-03-16 19:02:00.525340 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=1/256, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  3 2018-03-16 19:02:00.525371 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=2/512, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  4 2018-03-16 19:02:00.525377 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=3/768, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  5 2018-03-16 19:02:00.525381 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=4/1024, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  6 2018-03-16 19:02:00.525386 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=5/1280, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  7 2018-03-16 19:02:00.525391 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=6/1536, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  8 2018-03-16 19:02:00.525396 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=7/1792, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
  9 2018-03-16 19:02:00.525400 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=8/2048, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 10 2018-03-16 19:02:00.525404 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=9/2304, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 11 2018-03-16 19:02:00.525408 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=10/2560, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 12 2018-03-16 19:02:00.525413 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=11/2816, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 13 2018-03-16 19:02:00.525417 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=12/3072, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 14 2018-03-16 19:02:00.525422 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=13/3328, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
