  1 2018-03-08 18:28:17.191434 2c:23:3a:3f:42:9f -> LLDP_Multicast LLDP TTL = 121 System Name = cl3 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:42:9f -> 01:80:c2:00:00:0e
  2 2018-03-08 18:28:17.276698    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=1/256, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  3 2018-03-08 18:28:17.276736    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=2/512, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  4 2018-03-08 18:28:17.276742    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=3/768, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  5 2018-03-08 18:28:17.276750    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=4/1024, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  6 2018-03-08 18:28:17.276775    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=5/1280, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  7 2018-03-08 18:28:17.276794    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=6/1536, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  8 2018-03-08 18:28:17.276839    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=7/1792, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
  9 2018-03-08 18:28:17.276847    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=12/3072, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 10 2018-03-08 18:28:17.276868    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=20/5120, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 11 2018-03-08 18:28:17.276877    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=23/5888, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 12 2018-03-08 18:28:17.276887    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=27/6912, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 13 2018-03-08 18:28:17.276897    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=32/8192, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 14 2018-03-08 18:28:17.276910    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=36/9216, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 15 2018-03-08 18:28:17.276920    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=41/10496, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 16 2018-03-08 18:28:17.276948    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=45/11520, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 17 2018-03-08 18:28:17.276956    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=48/12288, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 18 2018-03-08 18:28:17.276967    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=52/13312, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 19 2018-03-08 18:28:17.276993    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=57/14592, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 20 2018-03-08 18:28:17.277017    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=62/15872, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 21 2018-03-08 18:28:17.277026    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=67/17152, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 22 2018-03-08 18:28:17.277036    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=70/17920, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 23 2018-03-08 18:28:17.277047    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=74/18944, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 24 2018-03-08 18:28:17.277071    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=79/20224, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 25 2018-03-08 18:28:17.277080    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=83/21248, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 26 2018-03-08 18:28:17.277106    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=88/22528, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 27 2018-03-08 18:28:17.277114    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=94/24064, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
 28 2018-03-08 18:28:17.277135    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=99/25344, ttl=63 90:e2:ba:7e:5c:25 -> 90:e2:ba:29:f6:40
