  1 2018-02-12 01:44:31.030129    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=1/256, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  2 2018-02-12 01:44:31.030140 IntelCor_81:49:14 -> IntelCor_82:2c:7c ARP Who has 10.10.1.2?  Tell 10.10.1.1 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  3 2018-02-12 01:44:31.030164 IntelCor_82:2c:7c -> IntelCor_81:49:14 ARP 10.10.1.2 is at 90:e2:ba:82:2c:7c 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
  4 2018-02-12 01:44:31.030166    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=2/512, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  5 2018-02-12 01:44:31.030175    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=3/768, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  6 2018-02-12 01:44:31.030179    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=4/1024, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  7 2018-02-12 01:44:31.030184    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=5/1280, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
  8 2018-02-12 01:44:31.030296    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=1/256, ttl=63 (request in 1) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
  9 2018-02-12 01:44:31.030320    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=2/512, ttl=63 (request in 4) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
 10 2018-02-12 01:44:31.030330    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=3/768, ttl=63 (request in 5) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
 11 2018-02-12 01:44:31.030345    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=4/1024, ttl=63 (request in 6) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
